"periodo";"nivel_general_aperturas";"indice_icc";"Clasificador"
"2022-12-01";"Yeseria";192.765216364602;"Ítems"
"2022-12-01";"Instalacion sanitaria y contraincendio";201.188379189719;"Ítems"
"2022-12-01";"Instalacion de gas";189.90632921688;"Ítems"
"2022-12-01";"Instalacion electrica";197.463576658866;"Ítems"
"2022-12-01";"Carpinteria metalica y herreria";188.129260140411;"Ítems"
"2022-12-01";"Carpinteria de madera";199.361315864302;"Ítems"
"2022-12-01";"Ascensores";185.829867099523;"Ítems"
"2022-12-01";"Vidrios";208.88221997038;"Ítems"
"2022-12-01";"Pintura";172.798175797362;"Ítems"
"2022-12-01";"Otros trabajos y gastos";184.148590330982;"Ítems"
"2023-01-01";"Movimiento de tierras";195.70293109389;"Ítems"
"2023-01-01";"Estructura";198.358254123279;"Ítems"
"2023-01-01";"Albanileria";195.33079259695;"Ítems"
"2023-01-01";"Yeseria";206.071787000413;"Ítems"
"2023-01-01";"Instalacion sanitaria y contraincendio";216.016242009246;"Ítems"
"2023-01-01";"Instalacion de gas";199.605525356179;"Ítems"
"2023-01-01";"Instalacion electrica";211.477126896656;"Ítems"
"2023-01-01";"Carpinteria metalica y herreria";207.931341497234;"Ítems"
"2023-01-01";"Carpinteria de madera";208.10713270194;"Ítems"
"2023-01-01";"Ascensores";194.524196002841;"Ítems"
"2023-01-01";"Vidrios";218.339309377192;"Ítems"
"2023-01-01";"Pintura";181.325161215361;"Ítems"
"2023-01-01";"Otros trabajos y gastos";195.960152848805;"Ítems"
"2023-02-01";"Movimiento de tierras";204.312836894757;"Ítems"
"2023-02-01";"Estructura";212.668335694733;"Ítems"
"2023-02-01";"Albanileria";207.339397797133;"Ítems"
"2023-02-01";"Yeseria";219.286852824842;"Ítems"
"2023-02-01";"Instalacion sanitaria y contraincendio";226.767889779277;"Ítems"
"2023-02-01";"Instalacion de gas";212.514741964782;"Ítems"
"2023-02-01";"Instalacion electrica";224.811278025213;"Ítems"
